source,target,distance_km,same_river,same_dijkring
114,318,7.497058689912999,0,1
115,148,1.3429430367666382,1,1
115,440,3.279639309436329,1,1
115,90,5.339420286885084,1,1
115,433,5.624473664264062,1,0
115,196,7.417181203125619,0,0
116,197,5.00612235168099,1,0
116,77,7.450167783345553,0,0
116,184,8.426452693749606,0,0
116,150,8.614522621712709,1,0
116,83,12.080116969632373,1,0
117,204,2.3443045877189252,0,1
117,357,4.935779978888848,0,0
117,118,5.514769351477902,1,1
117,356,6.385721650682874,0,0
117,358,7.0888854554154,0,0
118,113,4.414466332412108,0,0
118,117,5.514769351477902,1,1
118,112,5.888512545626442,0,0
118,357,6.675981500873111,0,0
118,355,7.149022660476046,0,0
119,179,5.4788066218840035,1,0
119,15,7.84322446446613,0,0
119,27,8.088845962187683,1,0
119,21,8.09680257879615,0,0
119,152,8.441742237239895,0,0
120,3,10.421665557865499,1,1
120,427,14.49595391824905,0,0
120,181,15.817954987924324,0,1
120,81,16.621456614869828,0,0
120,469,18.28608574845913,0,0
121,137,0.9855074834824948,1,1
121,122,1.1988848985619929,1,1
121,162,2.870853531617383,0,1
121,516,3.2356909617576277,0,0
121,477,5.443762026393145,0,0
122,121,1.1988848985619929,1,1
122,137,2.1843923640225444,1,1
122,162,4.032416769134857,0,1
122,516,4.225274073950707,0,0
122,477,5.186492070754567,0,0
123,124,1.5690803038723034,1,1
123,125,3.7384815099181647,1,1
123,477,4.142533041509748,0,1
123,126,5.06601865373589,1,1
123,485,5.146965125197567,1,0
124,123,1.5690803038723034,1,1
124,125,2.206672834835287,1,1
124,126,3.50071649809007,1,1
124,485,4.48267922118012,1,0
124,127,4.950719240676045,1,1
125,126,1.4100471623318136,1,1
125,124,2.206672834835287,1,1
125,127,2.9673708901989317,1,1
125,123,3.7384815099181647,1,1
125,485,5.000099399011983,1,0
126,125,1.4100471623318136,1,1
126,127,1.564946324958144,1,1
126,124,3.50071649809007,1,1
126,128,4.88228962680421,1,1
126,123,5.06601865373589,1,1
127,126,1.564946324958144,1,1
127,125,2.9673708901989317,1,1
127,128,3.3774832345993966,1,1
127,450,3.997305092183983,0,0
127,129,4.610554196623221,1,1
128,129,1.240042337986893,1,1
128,131,3.3530037280026996,1,1
128,127,3.3774832345993966,1,1
128,450,4.258594251628112,0,0
128,130,4.40621481546236,1,0
129,128,1.240042337986893,1,1
129,131,2.121550612170259,1,1
129,130,4.001439990803311,1,0
129,127,4.610554196623221,1,1
129,132,5.042567996566829,1,0
130,132,3.0032945243515496,1,1
130,133,3.869633703595212,1,1
130,129,4.001439990803311,1,0
130,128,4.40621481546236,1,0
130,131,4.451755271800102,1,0
131,129,2.121550612170259,1,1
131,128,3.3530037280026996,1,1
131,132,4.061356054324713,1,0
131,130,4.451755271800102,1,0
131,133,4.78945925966596,1,0
132,133,0.9707981252557093,1,1
132,134,2.529830033816501,1,1
132,130,3.0032945243515496,1,1
132,131,4.061356054324713,1,0
132,136,4.68273531175957,1,1
133,132,0.9707981252557093,1,1
133,134,1.8380459733096992,1,1
133,130,3.869633703595212,1,1
133,136,3.9207291413715386,1,1
133,131,4.78945925966596,1,0
134,133,1.8380459733096992,1,1
134,136,2.1554790650804287,1,1
134,132,2.529830033816501,1,1
134,135,3.719648504899354,1,0
134,131,5.076685631393774,1,0
135,136,2.9913236200718907,1,0
135,134,3.719648504899354,1,0
135,275,5.1267824217534335,0,1
135,133,5.372949283214946,1,0
135,272,5.590353208876877,0,0
136,134,2.1554790650804287,1,1
136,135,2.9913236200718907,1,0
136,272,3.7294624277501445,0,1
136,133,3.9207291413715386,1,1
136,132,4.68273531175957,1,1
137,121,0.9855074834824948,1,1
137,162,1.9500433328518625,0,1
137,122,2.1843923640225444,1,1
137,516,2.560139254025062,0,0
137,515,4.570276249856238,0,0
138,97,3.7983023839604977,0,0
138,96,3.905406636958564,0,0
138,154,4.128810482451332,0,0
138,230,5.330776772666438,0,0
138,34,7.182204745062618,0,0
139,140,2.194401968646583,1,1
